"id","label","counttotal","treedepth"
"bariatric-surgery","Bariatric surgery",9,"4"
"barrel-cortex","Barrel cortex",15,"3"
"barretts-oesophagus","Barrett oesophagus",15,"4"
"basal-cell-carcinoma","Basal cell carcinoma",0,"4 3"
"basal-ganglia","Basal ganglia",16,"3"
"base-excision-repair","Base excision repair",3,"3"
"basolateral-polarity","Basolateral polarity",2,"3"
"basophils","Basophils",2,"4"
"batesian-mimicry","Batesian mimicry",2,"3"
"batteries","Batteries",177,"4 3"
"bayesian-inference","Bayesian inference",5,"2"
"behavioural-ecology","Behavioural ecology",59,"2"
"behavioural-genetics","Behavioural genetics",34,"2"
"behavioural-methods","Behavioural methods",32,"2"
"benign-prostatic-hyperplasia","Benign prostatic hyperplasia",1,"4"
"bile-duct-cancer","Bile duct cancer",6,"4 5"
"bile-duct-disease","Bile duct disease",15,"4"
"bile-ducts","Bile ducts",3,"4"
"biliary-tract","Biliary tract",7,"3"
"biliary-tract-cancer","Biliary tract cancer",12,"4 3"
"biliary-tract-disease","Biliary tract disease",16,"3"
"bioanalytical-chemistry","Bioanalytical chemistry",41,"3"
"biobricks","Biobricks",1,"2"
"biocatalysis","Biocatalysis",49,"4 5 2 3"
"biochemical-assays","Biochemical assays",26,"3"
"biochemical-networks","Biochemical networks",18,"2"
"biochemical-reaction-networks","Biochemical reaction networks",16,"2"
"biochemistry","Biochemistry",3612,"2 1"
"bioconjugate-chemistry","Bioconjugate chemistry",2,"3"
"biodiversity","Biodiversity",126,"2"
"bioenergetics","Bioenergetics",25,"2"
"biofilms","Biofilms",37,"2"
"biofuels","Biofuels",11,"2 3"
"biogeochemistry","Biogeochemistry",248,"2 3"
"biogeography","Biogeography",22,"2"
"bioinformatics","Bioinformatics",126,"2"
"bioinorganic-chemistry","Bioinorganic chemistry",71,"2 3"
"bioinspired-materials","Bioinspired materials",59,"4 3"
"biolimnology","Biolimnology",6,"3"
"biolistics","Biolistics",0,"3"
"biological-anthropology","Biological anthropology",18,"2 3"
"biological-fluorescence","Biological fluorescence",18,"2"
"biological-metamorphosis","Biological metamorphosis",3,"3"
"biological-models","Biological models",344,"2"
"biological-physics","Biological physics",115,"2"
"biological-sciences","Biological sciences",28127,"0"
"biological-techniques","Biological techniques",5481,"1"
"biological-therapy","Biological therapy",59,"3"
"biologics","Biologics",280,"2"
"bioluminescence-imaging","Bioluminescence imaging",3,"3"
"biomarker-research","Biomarker research",120,"2"
"biomarkers","Biomarkers",504,"2 1"
"biomaterials","Biomaterials",388,"2 3"
"biomaterials-cells","Biomaterials – cells",50,"4 3"
"biomaterials-proteins","Biomaterials – proteins",23,"4 3"
"biomaterials-vaccines","Biomaterials – vaccines",8,"4 3"
"biomechanics","Biomechanics",13,"2"
"biomedical-engineering","Biomedical engineering",145,"2 3"
"biomedical-materials","Biomedical materials",44,"4 3"
"biomimetic-synthesis","Biomimetic synthesis",4,"4 3"
"biomimetics","Biomimetics",26,"2"
"biomineralization","Biomineralization",10,"4 3"
"bionanoelectronics","Bionanoelectronics",21,"3"
"biooceanography","Biooceanography",84,"2"
"biophotonics","Biophotonics",40,"3"
"biophysical-chemistry","Biophysical chemistry",99,"2 3"
"biophysical-methods","Biophysical methods",137,"2"
"biophysical-models","Biophysical models",7,"3"
"biophysics","Biophysics",767,"1"
"biopolymers","Biopolymers",9,"3"
"biopolymers-in-vivo","Biopolymers in vivo",6,"2"
"bioremediation","Bioremediation",6,"3"
"biosensors","Biosensors",79,"3"
"biostatistics","Biostatistics",4,"4 3"
"biosurfaces","Biosurfaces",7,"3"
"biosynthesis","Biosynthesis",75,"2 3"
"biotechnology","Biotechnology",4507,"1"
"biotic","Biotic",15,"3"
"bipolar-disorder","Bipolar disorder",14,"3"
"birdsong","Birdsong",3,"3"
"bisphosphonates","Bisphosphonates",113,"3"
"bisphosphonates-in-dentistry","Bisphosphonates in dentistry",0,"4"
"bladder","Bladder",3,"2 3"
"bladder-cancer","Bladder cancer",92,"4 3"
"bladder-disease","Bladder disease",6,"3"
"blood-flow","Blood flow",5,"3"
"blood-proteins","Blood proteins",5,"4 3"
"blood-urea-nitrogen","Blood urea nitrogen",0,"4"
"blood-brain-barrier","Blood–brain barrier",17,"2"
"blotting","Blotting",0,"3"
"body-mass-index","Body mass index",1,"3"
"body-patterning","Body patterning",15,"3"
"bonded-restorations","Bonded restorations",0,"4"
"bone","Bone",167,"2 3"
"bone-cancer","Bone cancer",30,"2 3"
"bone-development","Bone development",76,"2"
"bone-imaging","Bone imaging",10,"3"
"bone-marrow","Bone marrow",1,"3"
"bone-marrow-cells","Bone marrow cells",0,"4 3"
"bone-marrow-transplantation","Bone marrow transplantation",14,"2"
"bone-metastases","Bone metastases",87,"4 3"
"bone-quality-and-biomechanics","Bone quality and biomechanics",65,"2"
"bone-remodelling","Bone remodelling",183,"2"
"boreal-ecology","Boreal ecology",3,"2"
"bose-einstein-condensates","Bose–Einstein condensates",28,"3"
"bowel-cancer","Bowel cancer",4,"4 3"
"brain","Brain",29,"4 3"
"brain-imaging","Brain imaging",27,"3"
"brain-injuries","Brain injuries",32,"3"
"brainstem","Brainstem",0,"3"
"brain-machine-interface","Brain–machine interface",9,"3"
"brassinosteroid","Brassinosteroid",1,"3"
"breast-cancer","Breast cancer",196,"2 3"
"bruxism","Bruxism",0,"4"
"burning-mouth-syndrome","Burning mouth syndrome",0,"4"
"business","Business",437,"2"
"business-and-commerce","Business and commerce",0,"0"
"business-and-industry","Business and industry",1639,"1"
"business-and-management","Business and management",0,"1"
"business-strategy-in-drug-development","Business strategy in drug development",107,"2"
"c3-photosynthesis","C3 photosynthesis",0,"3"
"c4-photosynthesis","C4 photosynthesis",0,"3"
"ca2-imaging","Ca2+ imaging",6,"4 3"
"cadherins","Cadherins",8,"3"
"caecum","Caecum",0,"4"
"caenorhabditis-elegans","Caenorhabditis elegans",24,"4"
"cajal-bodies","Cajal bodies",0,"3"
"calcification","Calcification",7,"4 5 3"
"calcitonin","Calcitonin",0,"4 3"
"calcium","Calcium",2,"4 3"
"calcium-and-phosphate-metabolic-disorders","Calcium and phosphate metabolic disorders",49,"3"
"calcium-and-vitamin-d","Calcium and vitamin D",56,"2"
"calcium-channels","Calcium channels",11,"4 3"
"calcium-signalling","Calcium signalling",28,"3"
"calcium-based-cement","Calcium-based cement",0,"4"
"calculus","Calculus",0,"4"
"cancer","Cancer",4336,"2 1"
"cancer-epidemiology","Cancer epidemiology",31,"2 3"
"cancer-epigenetics","Cancer epigenetics",19,"4 5 3"
"cancer-genetics","Cancer genetics",250,"4 2 3"
"cancer-genomics","Cancer genomics",214,"2 3"
"cancer-imaging","Cancer imaging",66,"2 3"
"cancer-immunotherapy","Cancer immunotherapy",94,"4 3"
"cancer-in-the-nervous-system","Cancer in the nervous system",7,"3"
"cancer-metabolism","Cancer metabolism",84,"2 3"
"cancer-microenvironment","Cancer microenvironment",202,"2 3"
"cancer-models","Cancer models",223,"2 3"
"cancer-of-unknown-primary","Cancer of unknown primary",1,"2 3"
"cancer-prevention","Cancer prevention",46,"2 3"
"cancer-screening","Cancer screening",42,"2 3"
"cancer-stem-cells","Cancer stem cells",129,"2 3"
"cancer-therapeutic-resistance","Cancer therapeutic resistance",70,"4 3"
"cancer-therapy","Cancer therapy",857,"2 3"
"carbohydrate-chemistry","Carbohydrate chemistry",10,"3"
"carbohydrates","Carbohydrates",39,"2 3"
"carbon-and-energy","Carbon and energy",30,"2"
"carbon-nanotubes-and-fullerenes","Carbon nanotubes and fullerenes",138,"3"
"cardiac-device-therapy","Cardiac device therapy",27,"2 3"
"cardiac-hypertrophy","Cardiac hypertrophy",2,"4 5 3"
"cardiac-regeneration","Cardiac regeneration",7,"3"
"cardiology","Cardiology",855,"1"
"cardiomyopathies","Cardiomyopathies",28,"4 3"
"cardiovascular-biology","Cardiovascular biology",851,"2"
"cardiovascular-diseases","Cardiovascular diseases",793,"2 3"
"cardiovascular-genetics","Cardiovascular genetics",2,"3"
"cardiovascular-models","Cardiovascular models",5,"3"
"careers","Careers",478,"2"
"caries-risk-assessment","Caries risk assessment",0,"4"
"caries-sealants","Caries sealants",0,"4"
"carotid-artery-disease","Carotid artery disease",5,"4 5"
"carrier-proteins","Carrier proteins",1,"4 3"
"cartilage","Cartilage",13,"3"
"cartilage-development","Cartilage development",4,"2"
"cas9-endonuclease","Cas9 endonuclease",10,"4"
"cat","Cat",0,"4"
"catalysis","Catalysis",341,"4 2 3"
"catalyst-synthesis","Catalyst synthesis",39,"4 5 3"
"catalytic-dna","Catalytic DNA",0,"4 3"
"catalytic-mechanisms","Catalytic mechanisms",16,"4 5 3"
"catalytic-rna","Catalytic RNA",5,"4 3"
"caveolae","Caveolae",0,"3"
"cd4-positive-t-cells","CD4-positive T cells",126,"4 6"
"cd8-positive-t-cells","CD8-positive T cells",27,"4 6"
"cell-adhesion","Cell adhesion",143,"2"
"cell-biology","Cell biology",3040,"1"
"cell-culture","Cell culture",39,"3"
"cell-death","Cell death",350,"2"
"cell-death-and-immune-response","Cell death and immune response",33,"2"
"cell-death-in-the-nervous-system","Cell death in the nervous system",32,"2"
"cell-delivery","Cell delivery",7,"2"
"cell-division","Cell division",307,"2"
"cell-fate","Cell fate",1,"3"
"cell-fate-and-cell-lineage","Cell fate and cell lineage",23,"3"
"cell-growth","Cell growth",93,"2 3"
"cell-invasion","Cell invasion",15,"3"
"cell-lineage","Cell lineage",20,"3"
"cell-migration","Cell migration",187,"2"
"cell-polarity","Cell polarity",35,"2"
"cell-proliferation","Cell proliferation",16,"2"
"cell-signalling","Cell signalling",694,"2"
"cell-therapies","Cell therapies",45,"3"
"cell-transplantation","Cell transplantation",5,"5"
"cell-type-diversity","Cell type diversity",8,"3"
"cell-vaccines","Cell vaccines",2,"4 3"
"cell-wall","Cell wall",5,"3"
"cell-cycle-exit","Cell-cycle exit",6,"3"
"cell-cycle-proteins","Cell-cycle proteins",7,"4 3"
"cells","Cells",270,"2"
"cellular-imaging","Cellular imaging",147,"2"
"cellular-immunity","Cellular immunity",127,"4 3"
"cellular-microbiology","Cellular microbiology",156,"2 3"
"cellular-motility","Cellular motility",17,"3"
"cellular-neuroscience","Cellular neuroscience",231,"2"
"cellular-noise","Cellular noise",5,"2"
"cellular-signalling-networks","Cellular signalling networks",21,"2"
"cell-particle-interactions","Cell–particle interactions",7,"3"
"cementum","Cementum",0,"3"
"bone-remodelling-central-control","Central control of bone remodelling",18,"3"
"central-nervous-system","Central nervous system",53,"3"
"central-nervous-system-infections","Central nervous system infections",2,"3"
"central-pattern-generators","Central pattern generators",4,"3"
"central-tolerance","Central tolerance",2,"4 5"
"centromeres","Centromeres",10,"3"
"centrosome","Centrosome",12,"3"
"ceramics","Ceramics",22,"3"
"cerebellum","Cerebellum",10,"3"
"cerebrospinal-fluid-proteins","Cerebrospinal fluid proteins",1,"4 3"
"cerebrovascular-disorders","Cerebrovascular disorders",70,"4 5 3"
"ceroid","Ceroid",0,"4 3"
"cervical-cancer","Cervical cancer",18,"4 3"
"channelopathies","Channelopathies",3,"3"
"chaperone-mediated-autophagy","Chaperone-mediated autophagy",1,"4 3"
"chaperones","Chaperones",34,"4 3"
"characterization-and-analytical-techniques","Characterization and analytical techniques",97,"3"
"checkpoint-signalling","Checkpoint signalling",6,"3"
"checkpoints","Checkpoints",12,"3"
"chemical-biology","Chemical biology",3293,"2 1"
"chemical-bonding","Chemical bonding",26,"4 3"
"chemical-ecology","Chemical ecology",14,"2 3"
"chemical-education","Chemical education",6,"3"
"chemical-engineering","Chemical engineering",85,"2 3"
"chemical-genetics","Chemical genetics",14,"2 3"
"chemical-libraries","Chemical libraries",8,"3"
"chemical-modification","Chemical modification",43,"2 3"
"chemical-physics","Chemical physics",147,"2 3"
"chemical-safety","Chemical safety",3,"3"
"chemical-synthesis","Chemical synthesis",41,"2 3"
"chemical-tools","Chemical tools",92,"2 3"
"cheminformatics","Cheminformatics",9,"2 3"
"chemistry","Chemistry",8087,"1"
"chemistry-publishing","Chemistry publishing",5,"3"
"chemokines","Chemokines",65,"4 2 3"
"chemoprevention","Chemoprevention",3,"4"
"chemotaxis","Chemotaxis",10,"3"
"chemotherapy","Chemotherapy",116,"4 3"
"chimaerism","Chimaerism",0,"4"
"chlamydomonas-reinhardtii","Chlamydomonas reinhardtii",0,"4"
"chloride-channels","Chloride channels",4,"4 3"
"chloroplasts","Chloroplasts",5,"3"
"cholecystitis","Cholecystitis",0,"5"
"choledocholithiasis","Choledocholithiasis",1,"5"
"cholelithiasis","Cholelithiasis",0,"5"
"cholestasis","Cholestasis",2,"5"
"chondrocytes","Chondrocytes",22,"3"
"chromatin","Chromatin",233,"4 2 3"
"chromatin-analysis","Chromatin analysis",18,"3"
"chromatin-immunoprecipitation","Chromatin immunoprecipitation",26,"3"
"chromatin-remodelling","Chromatin remodelling",30,"4 5 3"
"chromatin-structure","Chromatin structure",30,"4 5 3"
"chromatography","Chromatography",5,"3"
"chromosome-abnormality","Chromosome abnormality",14,"3"
"chromosome-condensation","Chromosome condensation",3,"3"
"chromosome-conformation-capture-based-methods","Chromosome conformation capture-based methods",6,"3"
"chromosome-segregation","Chromosome segregation",28,"3"
"chromosomes","Chromosomes",116,"2"
"chronic-inflammation","Chronic inflammation",60,"3"
"chronic-kidney-disease","Chronic kidney disease",170,"3"
"chronic-lymphocytic-leukaemia","Chronic lymphocytic leukaemia",28,"4 5"
"chronic-myeloid-leukaemia","Chronic myeloid leukaemia",15,"4 5"
"chronic-obstructive-pulmonary-disease","Chronic obstructive pulmonary disease",0,"3"
"chronic-pain","Chronic pain",15,"4 3"
"chronic-pancreatitis","Chronic pancreatitis",8,"5"
"cilia","Cilia",14,"3"
"ciliogenesis","Ciliogenesis",11,"2"
"circadian-mechanisms","Circadian mechanisms",10,"3"
"circadian-regulation","Circadian regulation",13,"3"
"circadian-rhythm-signalling-peptides-and-proteins","Circadian rhythm signalling peptides and proteins",4,"4 3"
"circadian-rhythms","Circadian rhythms",36,"2"
"circadian-rhythms-and-sleep","Circadian rhythms and sleep",73,"2"
"circadian-rhythms-in-plants","Circadian rhythms in plants",0,"3"
"circular-dichroism","Circular dichroism",2,"4 3"
"circulation","Circulation",269,"2"
"civil-engineering","Civil engineering",11,"2 3"
"class-switch-recombination","Class switch recombination",4,"4 3"
"classical-conditioning","Classical conditioning",7,"3"
"classification-and-taxonomy","Classification and taxonomy",14,"2"
"cleft-lip-and-palate","Cleft lip and palate",0,"4"
"climate-and-earth-system-modelling","Climate and Earth system modelling",97,"3"
"climate-change","Climate change",581,"2"
"climate-sciences","Climate sciences",1885,"1"
"climate-change-adaptation","Climate-change adaptation",48,"2"
"climate-change-ecology","Climate-change ecology",130,"2"
"climate-change-impacts","Climate-change impacts",219,"2 3"
"climate-change-mitigation","Climate-change mitigation",96,"2 3"
"climate-change-policy","Climate-change policy",100,"2"
"clinical-epigenetics","Clinical epigenetics",28,"3"
"clinical-genetics","Clinical genetics",873,"2"
"clinical-microbiology","Clinical microbiology",53,"2 3"
"clinical-pharmacology","Clinical pharmacology",7,"4 3"
"study-design","Clinical trial design",328,"2"
"clinical-trials","Clinical trials",268,"2 3"
"clonal-selection","Clonal selection",6,"4 3"
"cloning","Cloning",0,"3"
"clostridium-difficile","Clostridium difficile",11,"3"
"cns-cancer","CNS cancer",111,"2 3"
"coagulation-system","Coagulation system",6,"2"
"coarse-grained-models","Coarse-grained models",11,"3"
"coat-complexes","Coat complexes",5,"3"
"cochlea","Cochlea",10,"3"
"coeliac-disease","Coeliac disease",13,"4 3"
"coevolution","Coevolution",20,"2"
"cognitive-ageing","Cognitive ageing",28,"2"
"cognitive-control","Cognitive control",38,"3"
"cognitive-neuroscience","Cognitive neuroscience",259,"2"
"cohesion","Cohesion",3,"3"
"colipases","Colipases",0,"4 3"
"colitis","Colitis",2,"5"
"collapsing-glomerulopathy","Collapsing glomerulopathy",1,"4"
"collective-cell-migration","Collective cell migration",15,"3"
"colloids","Colloids",67,"4 3"
"colon","Colon",3,"4"
"colon-cancer","Colon cancer",22,"4 5 6"
"colonic-diseases","Colonic diseases",108,"4"
"colonoscopy","Colonoscopy",4,"4 2"
"colorectal-cancer","Colorectal cancer",106,"4 5 3"
"colorectal-surgery","Colorectal surgery",5,"4"
